station,latitude,longitude,numDocks,timestamp,year,month,day,hour,weekday,weekhour,isHoliday,windMaxSpeed.m.s,windMeanSpeed.m.s,windDirection.grades,temperature.C,relHumidity.HR,airPressure.mb,precipitation.l.m2,bikes_3h_ago,full_profile_3h_diff_bikes,full_profile_bikes,short_profile_3h_diff_bikes,short_profile_bikes,Id
8,39.474324,-0.375151,23,1404583200.0,2014,7,5,20,Saturday,139,0,19.3,6.4,337.5,30.1,42.0,1011.5,0.0,1.0,5.37607973421927,5.37564350954885,6.546341463414628,6.5349593495935,201166
106,39.476713,-0.341369,25,1402192800.0,2014,6,8,4,Sunday,147,0,3.8,1.5,41.0,11.1,87.0,1003.0,0.0,4.0,10.4915215398717,10.4901208407308,7.66369047619048,7.669642857142861,201167
8,39.474324,-0.375151,23,1404925200.0,2014,7,9,19,Wednesday,66,0,19.3,9.7,0.0,25.1,53.0,1015.0,0.0,0.0,5.38474249518039,5.383975770925112,6.353640416047549,6.352154531946511,201168
8,39.474324,-0.375151,23,1406257200.0,2014,7,25,5,Friday,100,0,12.9,8.0,67.5,23.4,86.0,1007.5,0.0,0.0,5.38148448043185,5.3803022126281705,5.61961367013373,5.61961367013373,201169
106,39.476713,-0.341369,25,1402570800.0,2014,6,12,13,Thursday,84,0,8.5,5.6,140.0,29.6,28.0,1008.0,0.0,18.0,10.481574587213599,10.481779757825,7.662866449511402,7.60260586319218,201170
7,39.474715,-0.37932,20,1405551600.0,2014,7,17,1,Thursday,72,0,6.4,3.2,67.5,24.1,78.0,1017.7,0.0,6.0,5.247967701456711,5.24811825024545,5.16641901931649,5.16047548291233,201171
8,39.474324,-0.375151,23,1403359200.0,2014,6,21,16,Saturday,135,0,7.0,2.4,132.0,26.4,50.0,1000.0,0.0,22.0,5.36320541760722,5.36507757404796,6.5635179153094505,6.63029315960912,201172
7,39.474715,-0.37932,20,1401969600.0,2014,6,5,14,Thursday,85,0,4.8,1.1,148.0,23.2,59.0,1002.0,0.0,11.0,5.23969412982234,5.2409472353144,4.79049034175334,4.8112927191679,201173
110,39.48075,-0.336789,30,1403078400.0,2014,6,18,10,Wednesday,57,0,7.4,1.8,145.0,23.4,64.0,1004.0,0.0,10.0,11.1111551978234,11.111180370601199,8.01628664495114,7.99348534201954,201174
106,39.476713,-0.341369,25,1402750800.0,2014,6,14,15,Saturday,134,0,7.0,1.8,182.0,28.6,45.0,998.0,0.0,16.0,10.4735372870734,10.4751680145802,7.65798045602606,7.71172638436482,201175
106,39.476713,-0.341369,25,1402606800.0,2014,6,12,23,Thursday,94,0,0.7,0.1,355.0,25.8,44.0,1008.0,0.0,0.0,10.478501684463,10.4769380066218,7.52442996742671,7.51954397394137,201176
106,39.476713,-0.341369,25,1402210800.0,2014,6,8,9,Sunday,152,0,1.2,0.3,17.0,19.1,76.0,1005.0,0.0,0.0,10.4887463490064,10.4873468452994,7.66369047619048,7.66071428571429,201177
8,39.474324,-0.375151,23,1404709200.0,2014,7,7,7,Monday,6,0,9.7,4.8,67.5,23.2,75.0,1011.6,0.0,0.0,5.38220502901354,5.38132596685083,6.46784565916399,6.4464,201178
7,39.474715,-0.37932,20,1402437600.0,2014,6,11,0,Wednesday,47,0,,,,,,,,6.0,5.2375665312196,5.2381115879828295,4.8089887640449405,4.82258064516129,201179
110,39.48075,-0.336789,30,1405004400.0,2014,7,10,17,Thursday,88,0,27.4,12.9,0.0,24.3,55.0,1014.7,0.0,23.0,11.1333553391649,11.1350786492135,10.8410104011887,10.888558692421999,201180
8,39.474324,-0.375151,23,1406401200.0,2014,7,26,21,Saturday,140,0,20.9,8.0,67.5,25.8,78.0,1010.9,0.0,8.0,5.38179369781848,5.38336025848142,5.62407132243685,5.680534918276369,201181
110,39.48075,-0.336789,30,1405670400.0,2014,7,18,10,Friday,105,0,9.7,4.8,45.0,25.8,74.0,1013.7,0.0,8.0,11.138873761028199,11.139217074100301,12.209509658246699,12.2407132243685,201182
110,39.48075,-0.336789,30,1405652400.0,2014,7,18,5,Friday,100,0,6.4,3.2,157.5,23.5,78.0,1014.3,0.0,6.0,11.1401645148989,11.1389282213267,12.1693907875186,12.196136701337302,201183
110,39.48075,-0.336789,30,1402646400.0,2014,6,13,10,Friday,105,0,4.6,1.3,134.0,31.0,30.0,1006.0,0.0,8.0,11.1385115854355,11.1381297426827,8.21498371335505,8.23778501628665,201184
106,39.476713,-0.341369,25,1404316800.0,2014,7,2,18,Wednesday,65,0,27.4,11.3,22.5,24.4,77.0,1002.4,0.0,22.0,10.469034912163698,10.4716278552771,9.53257328990228,9.58306188925081,201185
106,39.476713,-0.341369,25,1403290800.0,2014,6,20,21,Friday,116,0,2.6,0.9,59.0,22.1,71.0,1002.0,0.0,19.0,10.4603174603175,10.4610910323018,7.82084690553746,7.87622149837134,201186
110,39.48075,-0.336789,30,1402088400.0,2014,6,6,23,Friday,118,0,4.5,1.4,72.0,17.7,85.0,1003.0,0.0,0.0,11.165681492109,11.163339070567998,7.97470238095238,7.97172619047619,201187
7,39.474715,-0.37932,20,1404399600.0,2014,7,3,17,Thursday,88,0,41.8,22.5,45.0,21.7,86.0,1014.6,0.0,3.0,5.24698761730246,5.247640723881429,5.43973941368078,5.43322475570033,201188
7,39.474715,-0.37932,20,1401627600.0,2014,6,1,15,Sunday,158,0,10.6,4.6,141.0,22.0,51.0,1006.0,0.0,0.0,5.24569314371604,5.24533317921748,4.78306092124814,4.76523031203566,201189
110,39.48075,-0.336789,30,1405220400.0,2014,7,13,5,Sunday,148,0,0.0,0.0,146.3,21.5,83.0,1015.1,0.0,10.0,11.1392772934145,11.138690933011699,11.509658246656802,11.5230312035661,201190
7,39.474715,-0.37932,20,1404525600.0,2014,7,5,4,Saturday,123,0,6.4,1.6,180.0,22.6,71.0,1015.2,0.0,6.0,5.24772777654622,5.24749293589673,5.46178861788618,5.43414634146342,201191
8,39.474324,-0.375151,23,1401829200.0,2014,6,3,23,Tuesday,46,0,8.8,4.0,37.0,18.0,82.0,1001.0,0.0,1.0,5.33052898467212,5.32933924765251,5.78008915304606,5.78008915304606,201192
110,39.48075,-0.336789,30,1405994400.0,2014,7,22,4,Tuesday,27,0,11.3,4.8,157.5,23.1,51.0,1013.4,0.0,16.0,11.185833513982198,11.186216611583701,13.5022288261516,13.515601783060902,201193
110,39.48075,-0.336789,30,1402592400.0,2014,6,12,19,Thursday,90,0,2.7,0.9,144.0,28.3,35.0,1007.0,0.0,14.0,11.1449705831953,11.145043398812199,8.25895765472313,8.224755700325732,201194
110,39.48075,-0.336789,30,1403006400.0,2014,6,17,14,Tuesday,37,0,14.7,9.4,142.0,23.2,60.0,1001.0,0.0,24.0,11.1157076381795,11.1169796335168,7.97557003257329,7.97068403908795,201195
7,39.474715,-0.37932,20,1404795600.0,2014,7,8,7,Tuesday,30,0,4.8,0.0,157.5,20.4,76.0,1016.9,0.0,0.0,5.23853413543794,5.2383028029132594,5.26470588235294,5.24345146379045,201196
110,39.48075,-0.336789,30,1402394400.0,2014,6,10,12,Tuesday,35,0,,,,,,,,1.0,11.1378126251932,11.137396280400601,7.955905511811018,7.914556962025322,201197
110,39.48075,-0.336789,30,1402106400.0,2014,6,7,4,Saturday,123,0,1.4,0.3,341.0,16.5,86.0,1002.0,0.0,0.0,11.1624784853701,11.160137654144002,7.97172619047619,7.97172619047619,201198
106,39.476713,-0.341369,25,1406512800.0,2014,7,28,4,Monday,3,0,1.6,0.0,180.0,24.1,83.0,1010.9,0.0,6.0,10.4959673083127,10.4954039671021,11.3878157503715,11.3789004457652,201199
106,39.476713,-0.341369,25,1404010800.0,2014,6,29,5,Sunday,148,0,2.4,0.5,113.0,17.6,86.0,1000.0,0.0,9.0,10.462771602524699,10.4626982354255,9.0114006514658,9.04885993485342,201200
7,39.474715,-0.37932,20,1405371600.0,2014,7,14,23,Monday,22,0,6.4,3.2,67.5,24.2,75.0,1016.1,0.0,16.0,5.25439028393238,5.255633340625679,5.30609212481426,5.32095096582467,201201
106,39.476713,-0.341369,25,1402552800.0,2014,6,12,8,Thursday,79,0,3.2,0.6,304.0,25.3,37.0,1009.0,0.0,0.0,10.482340838953,10.4811175227104,7.6400651465798,7.64983713355049,201202
7,39.474715,-0.37932,20,1402401600.0,2014,6,10,14,Tuesday,37,0,,,,,,,,6.0,5.2375665312196,5.2381115879828295,4.772511848341232,4.77777777777778,201203
8,39.474324,-0.375151,23,1405933200.0,2014,7,21,11,Monday,10,0,6.4,1.6,337.5,27.8,37.0,1016.2,0.0,2.0,5.38633034987795,5.38627982646421,5.81723625557207,5.78603268945022,201204
8,39.474324,-0.375151,23,1405789200.0,2014,7,19,19,Saturday,138,0,11.3,4.8,0.0,29.9,51.0,1006.3,0.0,8.0,5.38945365588475,5.38858695652174,6.03863298662704,5.98216939078752,201205
8,39.474324,-0.375151,23,1404205200.0,2014,7,1,11,Tuesday,34,0,8.0,3.2,0.0,25.9,66.0,1001.0,0.0,11.0,5.36953494848232,5.37138084632517,6.5732899022801305,6.57491856677524,201206
106,39.476713,-0.341369,25,1404784800.0,2014,7,8,4,Tuesday,27,0,1.6,0.0,247.5,21.2,75.0,1016.7,0.0,0.0,10.4308422563197,10.429399106108301,8.95334370139969,8.91486068111455,201207
8,39.474324,-0.375151,23,1401865200.0,2014,6,4,9,Wednesday,56,0,1.8,0.7,143.0,23.0,38.0,999.0,0.0,0.0,5.32757429163787,5.32776786228338,5.774145616641902,5.799405646359579,201208
7,39.474715,-0.37932,20,1402113600.0,2014,6,7,6,Saturday,125,0,0.6,0.1,4.0,16.3,85.0,1001.0,0.0,2.0,5.240362551629191,5.24017892986179,4.72470238095238,4.71428571428571,201209
106,39.476713,-0.341369,25,1403416800.0,2014,6,22,8,Sunday,151,0,2.0,0.6,145.0,23.0,72.0,1003.0,0.0,11.0,10.4609313338595,10.461139604350999,8.33550488599349,8.38110749185668,201210
106,39.476713,-0.341369,25,1401652800.0,2014,6,1,22,Sunday,165,0,2.1,1.2,154.0,19.6,63.0,1006.0,0.0,11.0,10.510891546773,10.511032809611804,7.97473997028232,7.93462109955424,201211
110,39.48075,-0.336789,30,1404122400.0,2014,6,30,12,Monday,11,0,7.0,2.6,123.0,25.4,60.0,1006.0,0.0,21.0,11.1317755966986,11.134191893850696,9.812703583061893,9.8599348534202,201212
8,39.474324,-0.375151,23,1402999200.0,2014,6,17,12,Tuesday,35,0,10.1,6.4,141.0,24.5,54.0,1002.0,0.0,21.0,5.35261066969353,5.354723404255321,6.263843648208469,6.265472312703579,201213
106,39.476713,-0.341369,25,1403506800.0,2014,6,23,9,Monday,8,0,4.0,1.2,52.0,23.6,70.0,1005.0,0.0,8.0,10.4665315543546,10.4672444844665,8.55537459283388,8.56351791530945,201214
106,39.476713,-0.341369,25,1406764800.0,2014,7,31,2,Thursday,73,0,0.0,0.0,146.3,23.9,78.0,1014.5,0.0,2.0,10.509695736018902,10.5087559578,11.5289747399703,11.520059435364,201215
8,39.474324,-0.375151,23,1406581200.0,2014,7,28,23,Monday,22,0,20.9,9.7,22.5,25.4,83.0,1008.4,0.0,6.0,5.39167338168144,5.39087003222342,5.9093610698365495,5.91530460624071,201216
8,39.474324,-0.375151,23,1405771200.0,2014,7,19,14,Saturday,133,0,12.9,6.4,0.0,31.4,50.0,1007.3,0.0,18.0,5.38711256117455,5.3884751291111685,6.0891530460624095,6.0624071322436786,201217
110,39.48075,-0.336789,30,1402610400.0,2014,6,13,0,Friday,95,0,1.4,0.2,280.0,25.6,44.0,1007.0,0.0,0.0,11.144243947007801,11.141919278415301,8.20195439739414,8.20195439739414,201218
7,39.474715,-0.37932,20,1401933600.0,2014,6,5,4,Thursday,75,0,11.2,5.2,49.0,17.8,78.0,1002.0,0.0,1.0,5.24080998676868,5.24068322981366,4.75780089153046,4.76077265973254,201219
7,39.474715,-0.37932,20,1406739600.0,2014,7,30,19,Wednesday,66,0,27.4,14.5,22.5,26.0,68.0,1009.0,0.0,4.0,5.238812369365991,5.23896270895842,5.01337295690936,4.9479940564636,201220
110,39.48075,-0.336789,30,1404392400.0,2014,7,3,15,Thursday,86,0,33.8,17.7,67.5,21.2,90.0,1015.7,0.2,12.0,11.1482756705726,11.1471241394626,10.5798045602606,10.506514657980501,201221
110,39.48075,-0.336789,30,1405274400.0,2014,7,13,20,Sunday,163,0,16.1,8.0,0.0,25.4,73.0,1012.6,0.0,11.0,11.138614946307301,11.138029249055199,11.5765230312036,11.585438335809801,201222
